Name,Location,Rating,Contact
Kiwi Spa Organic Facial Innovation,"1919 Grand Ave, San Diego, CA, 92109",5.0,+16196211177
UltraViolet Advanced Skincare and Repair,"2840 5th Ave., San Diego, CA, 92103",5.0,+16197871447
SKIN,"10330 Friars Rd, San Diego, CA, 92120",5.0,+16193810011
Conjure Skin Therapies,"4002 Park Blvd, San Diego, CA, 92103",5.0,+16197368881
Spa Kingston,"2230 5th Ave, San Diego, CA, 92101",4.5,+18588880655
A Touch Of Clover Skin Care,"1205 University Ave, San Diego, CA, 92103",5.0,+16192981550
Vasseur Skin Clinic & Spa,"1930 1st Ave, San Diego, CA, 92101",5.0,+16192369095
Montarbo Skin Care,"3200 Adams Ave, San Diego, CA, 92116",5.0,+16196211658
Peel Simply Skin,"4642 30th St, San Diego, CA, 92116",5.0,+16195640669
Aesthetica Med Spa of San Diego,"2221 Camino Del Rio S, San Diego, CA, 92108",4.5,+16192045843
Radiance Wellness & Beauty,"2840 5th Ave, San Diego, CA, 92103",5.0,+16193475771
Apollo Spa & Wellness,"2667 Camino Del Rio S, San Diego, CA, 92108",5.0,+16199932218
Siti Med Spa,"1951 4th Ave, San Diego, CA, 92101",4.5,+16197178484
San Diego Acne Clinic - La Jolla,"7440 Girard Ave, La Jolla, CA, 92037",5.0,+18587329015
Martine's Skin Care,"2180 Garnet Ave, San Diego, CA, 92109",5.0,+18587769762
Skin Habit,"3564 30th St, San Diego, CA, 92104",5.0,+16199060955
White Rabbit Day Spa,"3242 Adams Ave, San Diego, CA, 92116",5.0,+16195081544
Shop Good,"3030 N Park Way, San Diego, CA, 92104",5.0,+16195015362
Angel Skin Care,"4688 Convoy St, San Diego, CA, 92111",5.0,+18588055505
Pure Skin Lounge,"1425 University Ave, San Diego, CA, 92103",4.5,+16193546826
B Medical Spa,"3033 5th Ave, San Diego, CA, 92103",4.5,+16198909985
Your Acne Solutions,"4760 Pavlov Avenue, San Diego, CA, 92122",5.0,+18056305805
Purskin Clinical Aesthetics,"3007 Clairemont Dr, San Diego, CA, 92117",5.0,+19496369771
Complexions RX,"2918 5th Ave, San Diego, CA, 92103",4.5,+16196832820
San Diego Advanced Skin Care,"3960 Park Blvd, San Diego, CA, 92103",5.0,+16192005023
Beauty & More Skin Care,"4683 Mercury St, San Diego, CA, 92111",5.0,+19517415023
Palmer Skin,"3900 5th Ave, San Diego, CA, 92103",5.0,+16194814087
Haven Collective,"1531 Fern St, San Diego, CA, 92102",5.0,+18583494001
Jezebelle Skin Solutions,"3023 Bunker Hill St, San Diego, CA, 92109",5.0,+16198886650
The Goddess of Youth,"1550 Front St, San Diego, CA, 92101",5.0,+16193627969
Sharone Skin Specialist,"3433 Ray St, San Diego, CA, 92104",5.0,+17863375588
The Skin Care Studio,"4501 Alabama St, San Diego, CA, 92116",5.0,+18583373257
Atossa Medical Spa,"13359 Poway Rd, Poway, CA, 92064",5.0,+18582826722
Aubrey King Beauty,"2456 Fletcher Pkwy, El Cajon, CA, 92020",5.0,+16192617804
Alexus Surgery Center & Medspa,"5720 Oberlin Dr, San Diego, CA, 92121",5.0,+18584557557
Skin Habit,"230 Prospect Pl, Coronado, CA, 92118",5.0,+16199060955
Sensible Spa,"8222 Vickers St, San Diego, CA, 92111",5.0,+16192779020
Glisten Skin,"4420 Hotel CIrcle Ct, San Diego, CA, 92108",4.5,+16193223012
Girl on the Go Wellness Spa,"830 25th St, San Diego, CA, 92102",5.0,+16192693693
SDBotox,"1707 Grand Ave, San Diego, CA, 92109",5.0,+18582475317
Urban Skin Care,"1550 Front St, San Diego, CA, 92101",4.5,+16192330306
Janet Lockman Skincare,"1090 University Ave, San Diego, CA, 92103",5.0,+16198658617
San Diego First Skin Care,"4539 College Ave, San Diego, CA, 92115",5.0,+16192861315
LC Spa,"4688 Convoy St, San Diego, CA, 92111",5.0,+18585255144
Revolution Medical Aesthetics + Wellness,"2308 6th Ave, San Diego, CA, 92101",5.0,+16196188849
Moxie Skincare,"2481 Congress St, San Diego, CA, 92110",5.0,+16198577104
Ayurvida Wellness,"1611 W Lewis, San Diego, CA, 92103",4.5,+16192916614
Sente Bella MedSpa,"220 W G St, San Diego, CA, 92101",4.5,+16192356865
Lumos Skincare Studio,"8383 Center Dr, La Mesa, CA, 91942",5.0,+16198324747
Cosmetic Laser Dermatology,"9339 Genesee Ave, San Diego, CA, 92121",4.5,+18589432113
HD Beauty Skincare Boutique,"16486 Bernardo Center Dr, San Diego, CA, 92128",5.0,+16198385353
Pacific Beach Med Spa,"2204 Garnet Ave, San Diego, CA, 92109",5.0,+18582407097
Skin Studio SD,"214A Town Center Pkwy, Santee, CA, 92071",5.0,+16198205563
Lisa Marie Cosmetics at Spa Milagro,"2121 5th Ave, San Diego, CA, 92101",5.0,+16514852298
Avalon Laser,"2445 5th Ave, San Diego, CA, 92101",5.0,+16199901138
Rachel Facial,"3060 Adams Ave, San Diego, CA, 92116",5.0,+16194559557
New Image Skin Care & Spa,"5450 Clairemont Mesa Blvd, San Diego, CA, 92117",4.5,+18582480189
Timeless Age Defying Laser Clinic,"7510 Hazard Center Dr, San Diego, CA, 92108",4.0,+16192948463
Surface Esthetics,"12702 Via Cortina, Del Mar, CA, 92014",5.0,+18584720083
Eco Chateau-Mission Valley,"2831 Camino Del Rio S, San Diego, CA, 92108",4.5,+16197956955
EnviouSkin,"4670 Park Blvd, San Diego, CA, 92116",4.5,+16192559368
Lux Esthetics,"619 1/2 W Fir St, San Diego, CA, 92101",5.0,+18587354597
Convoy Wellness Center,"4625 Convoy St, San Diego, CA, 92111",4.5,+18582788044
Skin Care by Christy,"3740 Sports Arena Blvd, San Diego, CA, 92110",5.0,+17144976597
Beatitude Aesthetic Medicine,"5030 Camino De La Siesta, San Diego, CA, 92108",4.0,+16192801609
La Jolla Cosmetic Medical Spa,"9850 Genesee Ave, La Jolla, CA, 92037",5.0,+18584522066
Savvy Skin Spa,"265 Santa Helena, Solana Beach, CA, 92075",5.0,+18587555754
Hollie Bruce Skin Care,"975 Hornblend St, San Diego, CA, 92109",5.0,+18588883787
Kay Corden Skincare,"8899 University Center Ln, San Diego, CA, 92122",5.0,+16195187477
"Mona Mofid, MD FAAD","8929 University Center Ln, San Diego, CA, 92122",5.0,+18584123271
Alleviating Whispering Waters Day Spa,"550 Cedar St, San Diego, CA, 92101",4.5,+16195318750
Spa Divino,"180 Otay Lakes Rd, Bonita, CA, 91902",5.0,+18586337546
T L Spa and Wellness,"3740 Sports Arena Blvd, San Diego, CA, 92110",5.0,+16193027306
Primary Kneads,"8322 Clairemont Mesa Blvd, San Diego, CA, 92111",5.0,+16194469554
Exquisite MD SPA,"2100 5th Ave, San Diego, CA, 92101",4.5,+16193762466
ALCHEME,"2308 Kettner Blvd, San Diego, CA, 92101",5.0,+16195016523
Therapie Day Spa,"4985 Voltaire St, San Diego, CA, 92107",5.0,+16197808700
Skin 'n Skinnier,"702 Pearl St, La Jolla, CA, 92037",5.0,+18582306513
South Coast MedSpa,"4520 Executive Dr, San Diego, CA, 92121",4.5,+18583462065
The Hidden Spa,"4969 Santa Monica Ave, San Diego, CA, 92107",4.5,+16192242160
Bella Skin,"1923 Morena Blvd, San Diego, CA, 92110",4.5,+16197230582
Revolution Medical,"1010 Pearl St, La Jolla, CA, 92037",5.0,+18588699287
Divino Plastic Surgery,"180 Otay Lakes Rd, Bonita, CA, 91902",4.5,+18586337546
Jessika's Aware Skincare,"10791 Jamacha Blvd, San Diego, CA, 91978",5.0,+16199951017
J's Elegant Reflections Med Spa,"8881 Fletcher Pkwy, La Mesa, CA, 91942",4.5,+16195890028
U Laser MedSpa,"4150 Regents Park Row, La Jolla, CA, 92037",5.0,+18582814560
Pure Spa & Chiropractic,"10793 Tierrasanta Blvd, San Diego, CA, 92124",4.5,+18585731505
ASerenity Skin Body,"3653 Voltaire St, San Diego, CA, 92106",4.5,+16194006400
DermaBoss Skin Solutions,"1510 Front St, San Diego, CA, 92101",4.5,+18584618415
La Jolla Plastic Surgery & Dermatology,"600 W Broadway, San Diego, CA, 92101",4.0,+16196333100
Lanoi Cosmetic Dermatology,"6605 Nancy Ridge Dr, San Diego, CA, 92121",5.0,+18589002747
SkinRenuit Medspa,"15725 Pomerado Rd, Poway, CA, 92064",5.0,+18584873742
Advanced Skin and Beauty by Aby,"1750 E Palomar St, Chula Vista, CA, 91913",5.0,+16193481779
Oasis Aesthetics Day Spa,"9085 Judicial Dr, San Diego, CA, 92122",5.0,+18582328401
Dolce Vita Aesthetic Medicine,"5531 Cancha De Golf, Rancho Santa Fe, CA, 92091",5.0,+18588328404
One Medical Spa,"884 Eastlake Pkwy, Chula Vista, CA, 91914",5.0,+16196330772
Tina Marie Skincare at True Beauty,"7746 Herschel Ave, La Jolla, CA, 92037",5.0,+18584547546
Ageless & Beautiful Medical Spa,"1080 University Ave, San Diego, CA, 92103",4.0,+16192990264
The Beauty Below,"Sola Salons, San Diego, CA, 92101",5.0,+16197570275
True Beauty San Diego Aesthetic Surgery & Medicine,"7746 Herschel Ave, La Jolla, CA, 92037",4.5,+18584547546
Refine Body And Skin Care,"444 Camino Del Rio S, San Diego, CA, 92108",4.0,+16195439664
Elena T Beauty,"12264 El Camino Real, San Diego, CA, 92130",5.0,+18584371845
Revive Salon & Spa,"1425 Frazee Rd, San Diego, CA, 92108",4.0,+16192937233
Alvarado Institute of Skin Care,"5565 Grossmont Center Dr, La Mesa, CA, 91942",3.5,+16192860372
"Sadi Erfani, MD","8690 Center Dr, San Diego, CA, 91942",4.5,+16193232888
Seaver Soon MD - The Skin Clinic MD,"3737 4th Ave, San Diego, CA, 92103",4.5,+16192990700
Bellassima Skin,", La Jolla, CA, 92037",4.5,+16199318738
La Jolla Cosmetic Surgery Centre,"9850 Genesee Ave, La Jolla, CA, 92037",4.5,+18584521981
Beauty and Body Lounge,"1450 Washington St, San Diego, CA, 92103",4.0,+16196929300
Brazil Appeal Waxing,"2667 Camino Del Rio S, San Diego, CA, 92108",5.0,+18586636101
Clear Skin Med Spa,"1430 E Plaza Blvd, National City, CA, 91950",3.0,+16194342813
All About Me Medical Day Spa,"12650 Sabre Springs Pkwy, San Diego, CA, 92128",4.5,+18582470191
Urban Calm,"726 Ninth Ave, San Diego, CA, 92101",5.0,+16192361395
Remedi,"230 Prospect Pl, Coronado, CA, 92118",5.0,+16198218207
Enliven Aesthetics,"838 G St, San Diego, CA, 92101",5.0,+18586090866
Zen Sanctuary,"4183 Adams Ave, San Diego, CA, 92116",5.0,+16192699322
Changes Plastic Surgery & Spa,"11515 El Camino Real, San Diego, CA, 92130",4.5,+18587201440
The Laser Cafe Medical Spa,"1205 University Ave, San Diego, CA, 92103",4.5,+16197958303
Jewel In The Lotus Healing,"Felton St, San Diego, CA, 92102",5.0,+19146499583
SynerChi Day and Med Spa,"4731 Clairemont Dr, San Diego, CA, 92117",4.0,+18582729564
Elite Spa,"1233 Camino Del Rio S, San Diego, CA, 92108",5.0,+16192472209
The Active Foot Store & Spa,"5490 Complex St, San Diego, CA, 92123",4.0,+18584535057
San Diego UltraSlim,"2535 Camino Del Rio S, San Diego, CA, 92108",4.0,+16196771311
Holistic Hands,"2525 Camino Del Rio S, San Diego, CA, 92108",4.5,+16193258338
Pearl SkinCare,"7424 Jackson Dr, San Diego, CA, 92119",4.5,+17608894753
Skin Fitness Etc,"228 S Cedros Ave, Solana Beach, CA, 92075",5.0,+17604384600
Massage Charm,"7531 Girard Ave, La Jolla, CA, 92037",5.0,+18584561188
PB Beauty Bar,"4645 Cass St, San Diego, CA, 92109",5.0,+18587759794
