Name,Location,Rating,Contact
Silver Mirror Facial Bar - Upper East,"862 Lexington Ave, New York, NY, 10065",4.5,+16468610089
Fusion Spa,"420 W 24th St, New York, NY, 10011",5.0,+12128683308
Jackie David Skin Care,"114 E 71st St, Manhattan, NY, 10021",4.5,+19173632635
Sulé Beauty and Med Spa,"500 East 77th St G/F, New York, NY, 10162",5.0,+19174441655
Foundation Beauty & Esthetics,"3207 31st Ave, Astoria, NY, 11106",5.0,+19175396040
Bella Noor Skincare,"30 E 60th St, New York, NY, 10022",5.0,+13474768772
JEDERM skin atelier,"10 W 74th St, New York, NY, 10023",5.0,+16469494711
Tribeca MedSpa Flatiron,"139 5th Ave, New York, NY, 10010",5.0,+12129259500
Upper West Spa,"187 Amsterdam Ave, New York, NY, 10023",5.0,+12127871696
Juvly Aesthetics,"18 East 41st St, New York, NY, 10017",4.0,+16145007000
Leah's Skin Care,"767 Lexington Ave, New York, NY, 10065",5.0,+12122301345
Dollface,"31-13 23rd Ave, Astoria, NY, 11105",4.5,+17188447874
Glowbar,"147 Duane St, New York, NY, 10013",4.5,+19172614300
Xen Laser Aesthetics,"119 W 57th St, New York, NY, 10019",5.0,+19292282712
Sacred Skincare,"139 Fulton St, New York, NY, 10038",5.0,+19293461907
Dr. Gerald Imber - Youth Corridor Clinic,"121A East 83rd St, New York, NY, 10028",5.0,+16464498000
Le clinique NYC,"37 W 26 St, New York, NY, 10010",5.0,+13472516704
JoGlo Spa,"148 W 111th St, New York, NY, 10026",5.0,+19174446963
Neinstein Plastic Surgery,"135 E 74th St, New York, NY, 10021",5.0,+12122490949
DAPHNE,"375 Broome St, New York, NY, 10013",5.0,+13473828807
The Fountain of Youth Lounge,"203 Chrystie St, New York, NY, 10002",5.0,+16466093660
Montclair Rejuvenation Center,"1 Mt Prospect Ave, Verona, NJ, 07044",4.5,+19732185677
Attain Medspa,"720 Monroe St, Hoboken, NJ, 07030",4.5,+17327787630
Skincare by D,"635 Madison Ave, New York, NY, 10022",5.0,+13474769730
Clean Beauty Quyen,"240 Kent Ave, Brooklyn, NY, 11249",5.0,+13478858883
Skinova Medspa,"28 W 44th St, New York, NY, 10036",5.0,+12123393993
V&N Laser Skincare at Park Slope,"157 5th Ave, Brooklyn, NY, 11217",5.0,+17186009258
ann + sofia beauty concept,"12 W 27th St, New York, NY, 10001",4.5,+19179008600
New York Laser Loft,"1115 Broadway 11th, New York, NY, 10010",5.0,+16463934364
Samantha Roberts,"140 W 19th St, New York, NY, 10011",4.5,+19176481083
Tribeca MedSpa,"114 Hudson St, New York, NY, 10013",4.0,+12129259500
Bare Beauty NYC,"122 W 26 St, New York, NY, 10011",4.0,+12123818814
Aesthetically Yours,"73 N Park Ave, Rockville Centre, NY, 11570",5.0,+15169922560
The Kor MediSpa,"87-16 Avon St, Jamaica, NY, 11432",4.5,+17188500064
EC Beauty Studio and Spa,"80 River St, Hoboken, NJ, 07030",4.5,+12019190522
MedAesthetique,"165 West End Ave, New York, NY, 10023",4.0,+12122569697
Spark Laser Center,"119 W 57th St, New York, NY, 10019",4.5,+12122450940
N4 Med Spa + Salon,"47 N 4th St, Brooklyn, NY, 11249",4.5,+17182464772
Spa Catalina,"767 Lexington Ave, New York, NY, 10065",5.0,+12123710492
Skin Care By Rochel,"1129 Saint Johns Pl, Brooklyn, NY, 11213",5.0,+17184844463
Evolve Skin Care,"53-14 Roosvelt Av, Woodside, NY, 11377",5.0,+17183099035
Russak Dermatology Clinic & Russak+ Aesthetic Center,"115 E 57th St, New York, NY, 10022",4.5,+16468737546
Glamor Skin,"140 Broadway, New York, NY, 10005",5.0,+19292725500
KarinaNYC Skin & Lash Clinics,"30 E 60th St, New York, NY, 10022",4.5,+12123553919
Claudia Colombo Skincare and Wellness,"1133 Broadway, New York, NY, 10010",4.5,+19177502895
Aesthetica MedSpa,"2 Sears Dr, Paramus, NJ, 07652",5.0,+12014821419
Enkaya Skin Concierge,"37 W 26th St, New York, NY, 10010",5.0,+12122569994
Laser By Monica,"222 E 34th St, New York, NY, 10016",5.0,+16467012774
Pulse Laser & Skincare Center,"274 Madison Ave, New York, NY, 10016",4.5,+12128021439
Glam Body Sugaring Boutique,"65-64 Myrtle Ave, Glendale, NY, 11385",4.5,+13479303125
