Name,Location,Rating,Contact
Montclair Rejuvenation Center,"1 Mt Prospect Ave, Verona, NJ, 07044",4.5,+19732185677
Jadwig European Skin Care,"420 Pompton Ave, Cedar Grove, NJ, 07009",4.0,+19732397070
SoloPerTe Skin Care,"200 Fairfield Rd, Fairfield, NJ, 07004",5.0,+19738458803
Aesthetica MedSpa,"2 Sears Dr, Paramus, NJ, 07652",5.0,+12014821419
Fusion Spa,"420 W 24th St, New York, NY, 10011",5.0,+12128683308
Ethos Spa Skin and Laser Center,"89 Summit Ave, Summit, NJ, 07901",4.0,+19082735400
Glow Beauty Bar,"1099 Inman Ave, Edison, NJ, 08820",4.0,+19088348898
Silver Mirror Facial Bar - Upper East,"862 Lexington Ave, New York, NY, 10065",4.5,+16468610089
Advanced Esthetics By SkinProNicole,"2 Blue Hill Plz, Pearl River, NY, 10965",4.5,+18454055009
Tribeca MedSpa Flatiron,"139 5th Ave, New York, NY, 10010",5.0,+12129259500
Glowbar,"147 Duane St, New York, NY, 10013",4.5,+19172614300
LH Spa & Rejuvenation,"250 S Livingston Ave, Livingston, NJ, 07039",4.0,+19739924300
Sacred Skincare,"139 Fulton St, New York, NY, 10038",5.0,+19293461907
Attain Medspa,"720 Monroe St, Hoboken, NJ, 07030",4.5,+17327787630
The Fountain of Youth Lounge,"203 Chrystie St, New York, NY, 10002",5.0,+16466093660
Secrets of Beauty Skin & Body,"132 Westfield Ave, Clark, NJ, 07066",4.5,+15516551883
Ethereal Day Spa & Salon,"300 New Rd, Parsippany, NJ, 07054",4.0,+19738823400
V&N Laser Skincare at Park Slope,"157 5th Ave, Brooklyn, NY, 11217",5.0,+17186009258
Lasercosmedix,"54 Orchard St, Hillsdale, NJ, 07642",4.0,+12016648663
DAPHNE,"375 Broome St, New York, NY, 10013",5.0,+13473828807
EC Beauty Studio and Spa,"80 River St, Hoboken, NJ, 07030",4.5,+12019190522
Esthetica MD,"12 E Palisades Ave, Englewood, NJ, 07631",5.0,+12018168106
JoGlo Spa,"148 W 111th St, New York, NY, 10026",5.0,+19174446963
Glamor Skin,"140 Broadway, New York, NY, 10005",5.0,+19292725500
Foundation Beauty & Esthetics,"3207 31st Ave, Astoria, NY, 11106",5.0,+19175396040
Laser + Skin Institute,"417 Main St, Chatham, NJ, 07928",4.0,+19736355050
Blende,"106 Elm St, Westfield, NJ, 07090",4.0,+19085882094
Tribeca MedSpa,"114 Hudson St, New York, NY, 10013",4.0,+12129259500
Le clinique NYC,"37 W 26 St, New York, NY, 10010",5.0,+13472516704
Upper West Spa,"187 Amsterdam Ave, New York, NY, 10023",5.0,+12127871696
Beauty Bar By Priya,"180 Main St, Ridgefield Park, NJ, 07660",5.0,+12014991313
Drip Medi Spa,"2011 Lemoine Ave, Fort Lee, NJ, 07024",4.0,+12019441343
Juvly Aesthetics,"18 East 41st St, New York, NY, 10017",4.0,+16145007000
Skin Care By Rochel,"1129 Saint Johns Pl, Brooklyn, NY, 11213",5.0,+17184844463
Bare Skin,"431 S Ave W, Westfield, NJ, 07090",5.0,+19083891800
JEDERM skin atelier,"10 W 74th St, New York, NY, 10023",5.0,+16469494711
Clean Beauty Quyen,"240 Kent Ave, Brooklyn, NY, 11249",5.0,+13478858883
Calm Beauty Brooklyn,"332 Senator St, Brooklyn, NY, 11220",5.0,+19175969535
Dollface,"31-13 23rd Ave, Astoria, NY, 11105",4.5,+17188447874
Glow Getter Salon,"97 Storer Ave, Staten Island, NY, 10309",5.0,+17185695261
Bella Noor Skincare,"30 E 60th St, New York, NY, 10022",5.0,+13474768772
Essence Therapeutic Massage & Spa,"69 Main St, South Bound Brook, NJ, 08880",5.0,+19089303045
Tres Belle Petite Medispa,"105 Bond St, Brooklyn, NY, 11217",4.5,+17187970033
Samantha Roberts,"140 W 19th St, New York, NY, 10011",4.5,+19176481083
ann + sofia beauty concept,"12 W 27th St, New York, NY, 10001",4.5,+19179008600
New York Laser Loft,"1115 Broadway 11th, New York, NY, 10010",5.0,+16463934364
Evolve Skin Care,"53-14 Roosvelt Av, Woodside, NY, 11377",5.0,+17183099035
LH Spa & Rejuvenation,"10-12 Elmer St, Madison, NJ, 07940",5.0,+19732955991
Sulé Beauty and Med Spa,"500 East 77th St G/F, New York, NY, 10162",5.0,+19174441655
Xen Laser Aesthetics,"119 W 57th St, New York, NY, 10019",5.0,+19292282712
