Name,Location,Rating,Contact
Juvly Aesthetics,"40 W Gay St, Columbus, OH, 43215",4.5,+18002540188
Oasis Face Bar,"20 E Gay St, Columbus, OH, 43215",4.5,+17409511662
Skin & Sugar,"1750 Lane Ave, Upper Arlington, OH, 43221",4.5,+16145250075
Boss Gal Beauty Bar,"122 Graceland Blvd, Columbus, OH, 43214",4.5,+16145584881
The Facial Cosmetic Center,"974 Bethel Rd, Columbus, OH, 43235",5.0,+16145382424
K Manley Studio Spa and Cosmetics,"1254 W 5th Ave, Columbus, OH, 43212",4.5,+16147254848
Timeless Skin Solutions,"31 S High St, Dublin, OH, 43017",4.5,+16147995100
Spa Grove,"98 Granville St, Gahanna, OH, 43230",5.0,+16148042982
BB Aesthetic,"4605 Morse Rd, Gahanna, OH, 43230",4.0,+16149345000
Kelly Ks Spa Getaway,"635 Park Meadow Rd, Westerville, OH, 43081",5.0,+16142734300
Juvly Aesthetics,"1120 Polaris Pkwy, Columbus, OH, 43240",4.5,+18002540188
Columbus Aesthetic & Plastic Surgery,"5005 Arlington Centre Blvd, Upper Arlington, OH, 43220",4.0,+16142466900
Jessica Bentley Skin Spa,"5131 Post Rd, Dublin, OH, 43017",4.5,+16144279000
Skin Perfect Studio,"1061 Bethel Rd, Columbus, OH, 43220",4.5,+16144593777
EZ Beauty,"74 Mill St, Gahanna, OH, 43230",5.0,+16149052282
Skin By Mal,"1989 W 5th Ave, Columbus, OH, 43212",4.5,+16148059870
Ohio Facial Plastics,"6325 Emerald Pkwy, Dublin, OH, 43016",4.5,+16148766673
Embody Health & Wellness,"3716 Ridge Mill Dr, Hilliard, OH, 43026",4.5,+16142191987
Lacquer Gallery Italian Village,"1002 N 4th St, Columbus, OH, 43201",5.0,+16146200291
Adryan Aesthetics,"1545 Bethel Rd, Columbus, OH, 43220",4.5,+16144595848
Aesthetics By Andrea,"1387 East Johnstown Rd, Gahanna, OH, 43230",4.5,+16144600065
Skin Oasis,"10 E College Ave, Westerville, OH, 43081",4.5,+17402720236
Stacie Spears,"4400 N High St, Columbus, OH, 43214",5.0,+16145196833
614 Beauty Bar,"820 North High St, Columbus, OH, 43215",5.0,+13103109105
Simply Pure Skin Studio,"1545 Bethel Rd, Columbus, OH, 43220",5.0,+16142860438
CaliLou Salon and Spa,"98 Granville St, Gahanna, OH, 43230",5.0,+16148042982
Makenzie Mills,"140 Buttles Ave, Columbus, OH, 43215",5.0,+16142855035
Elevated Beauty,"559 High St, Worthington, OH, 43085",5.0,+16145477090
Balance Beauty Spa,"41 West New England Ave, Worthington, OH, 43085",5.0,+16147459250
Body for Life Massage & Spa,"870 HIGH ST, Worthington, OH, 43085",5.0,+16142035356
U by Bentley Spa Studios,"5131 Post Rd, Dublin, OH, 43017",5.0,+16144397377
Skin Solutions by Jess,"8745 Sancus Blvd, Columbus, OH, 43240",5.0,+17403041926
Monarch Aesthetic Medicine,"4632 Sawmill Rd, Columbus, OH, 43220",5.0,+16145452002
Citrine Hair + Skin,"457 W Rich St, Columbus, OH, 43215",5.0,+16149295343
Medileaf Medical Spa,"1900 Crown Park Ct, Columbus, OH, 43235",4.0,+16147411376
Symmetry Eyebrows,"820 North High St Loft, Columbus, OH, 43215",5.0,+19375461152
GLO Essence,"35 E Gay St, Columbus, OH, 43215",5.0,+16145866253
Jewell Esthetics,"5131 Post Rd, Dublin, OH, 43017",5.0,+16146643211
Papillon Day Spa,"890 High St, Worthington, OH, 43085",4.0,+16144366801
Bare Skin & Nail Studio,"3805 N High St, Columbus, OH, 43214",5.0,+16148450048
Esthetics,"10516 Sawmill Rd, Powell, OH, 43065",5.0,+16146004564
East Columbus Facial Cosmetic & Skin Center,"6555 E Broad St, Columbus, OH, 43213",5.0,+16144270400
Pulp Lash Spa,"397 Venture Dr, Lewis Center, OH, 43035",4.5,+16148434222
Copper & Ash Salon,"274 S 3rd St, Columbus, OH, 43215",4.5,+16145020936
Oasis By Plush,"1153 Kenny Centre Mall, Columbus, OH, 43220",4.5,+16146417164
Kenneth's Hair Salons and Day Spas,"726 N State St, Westerville, OH, 43082",4.0,+16145385800
PENZONE Salon + Spa - Dublin,"6671 Village Pkwy, Dublin, OH, 43017",4.0,+16144185350
The Body Bar MedSpa,"16501 Square Dr, Marysville, OH, 43040",5.0,+19377386999
