Name,Location,Rating,Contact
Poppy & Ivy Face Bar,"5715 Magazine St, New Orleans, LA, 70115",4.5,+15045096470
The Skincare Lounge Nola,"8723 Oak St, New Orleans, LA, 70118",5.0,
About Face of New Orleans,"701 Metairie Rd, Metairie, LA, 70005",5.0,+15043041556
"Chronos Body, Health & Wellness","3200 N Arnoult Rd., Metairie, LA, 70002",4.5,+15042674549
Spa 2 Geaux,"3030 Edenborn Ave, Metairie, LA, 70001",5.0,+15043122626
Mia Bella Beauty Lounge,"745 Baronne St, New Orleans, LA, 70113",4.5,+15045105963
Hi-Brow Beauty Bar,"2007 Metairie Rd, Metairie, LA, 70005",4.5,+15043252222
Etre Cosmetic Dermatology & Laser Center,"1224 St Charles Ave, New Orleans, LA, 70130",5.0,+15042273873
Sculpting Center of New Orleans,"4500 Clearview Pkwy, Metairie, LA, 70006",5.0,+15043099456
Polite Society,"3616 Magazine St, New Orleans, LA, 70115",5.0,+15043046225
InstaBeauty Salon & Spa,"1107 Veterans Blvd, Metairie, LA, 70005",4.5,+15045715867
Megan rocks the beat,"3348 W Esplanade Ave, Metairie, LA, 70002",5.0,+15048139326
The Gallery Salon & Spa,"6312 Argonne Blvd, New Orleans, LA, 70124",4.5,+15044822219
Blending Beauty,"209 Harrison Ave, New Orleans, LA, 70124",5.0,+19852648126
Zen Skin Spa,"4141 Bienville St, New Orleans, LA, 70119",5.0,+15045799639
