Name,Location,Rating,Contact
Clique Beauty Boutique,"2838 Frankfort Ave, Louisville, KY, 40206",4.5,+15028953993
Renew with Jill,"11516 Main St, Middletown, KY, 40243",5.0,+15023223802
SKYN Lounge Boutique Spa,"145 Chenoweth Ln, Louisville, KY, 40207",5.0,+15028943335
Serenity Spa,"11614 Main St, Middletown, KY, 40243",4.5,+15022456484
Aesthetic Alternatives,"3810 Springhurst Blvd, Louisville, KY, 40241",5.0,+15026252214
Clique Beauty Boutique,"2214 Holiday Manor Ctr, Northfield, KY, 40222",5.0,+15028953993
J Michael's Spa and Salon,"4121 Shelbyville Rd, Louisville, KY, 40207",4.0,+15027428790
Skincare by Beth At All At Once Salon and Spa,"1714 Charlestown New Albany Rd, Jeffersonville, IN, 47130",5.0,+15027410099
I AM Beautiful by Mia,"9543 Taylorsville Rd, Louisville, KY, 40299",5.0,+15029162043
Skin Care By Tracie,"105 Lyndon Ln, Louisville, KY, 40222",4.0,+15027441491
BareWax,"4101 Taylorsville Rd, Louisville, KY, 40220",5.0,+15024726742
Living Pure Naturals,"4836 Brownsboro Rd, Louisville, KY, 40207",5.0,+15022600339
Meraki Lash And Beauty Bar,"37 Bank St, New Albany, IN, 47150",5.0,+18127252738
House of Wax,"2216 Dundee Rd, Louisville, KY, 40243",4.5,+15027099068
Southern Comforts Salon Spa,"9208 Dixie Hwy, Louisville, KY, 40272",4.5,+15029377373
Faceworks,"2011 Lake Point Way, Louisville, KY, 40223",5.0,
Salt Salon & Spa,"327 Eastbrooke Pointe Dr, Mount Washington, KY, 40047",4.0,+15022514744
