Name,Location,Rating,Contact
Comella Health & Wellness,"19 Prince St, Rochester, NY, 14607",5.0,+15856454844
Salon Crystallia,"2340 Monroe Ave, Rochester, NY, 14618",5.0,+15857502090
Darling Esthetics,"3 Railroad St, Fairport, NY, 14450",5.0,+15852007563
Avian Salon & Spa,"2126 Empire Blvd, Webster, NY, 14580",4.5,+15853476944
Polished Salon,"1100 Long Pond Rd, Rochester, NY, 14626",5.0,+15852278619
"Manasi Ladrigan, MD","Comprehensive Dermatology Of Rochester Pllc, Pittsford, NY, 14534",5.0,+15853815800
Comprehensive Dermatology of Rochester,"141 Sully's Trl, Town of Pittsford, NY, 14534",5.0,+15853815800
"David Graham, MD -  Graham Plastic Surgery","6536 Anthony Dr, Victor, NY, 14564",5.0,+15853004575
Graham Plastic Surgery,"6536 Anthony Dr, Victor, NY, 14564",5.0,+15853004575
Lakeside Cosmetic Center,"229 Parrish St, Canandaigua, NY, 14424",5.0,+15859053414
