Name,Location,Rating,Contact
Skin By Marywynn,"1500 NW 18th Ave, Portland, OR, 97209",5.0,+15032005745
Skin by Lovely Portland,"2311 NW Northrup St, Portland, OR, 97210",5.0,+15039026373
G Mayfield Skin Care,"1722 NW Raleigh St, Portland, OR, 97209",5.0,+15039755262
Dzialo Skin Care and European Facials,"1435 NW 23rd Ave, Portland, OR, 97210",5.0,+15032238901
Beautiful You Aesthetics,"13635 NW Cornell Rd, Portland, OR, 97229",5.0,+12066508398
The Acne Treatment Center,"13115 NE 4th St, Vancouver, WA, 98684",5.0,+13608528457
Haven A Skin Care Studio,"2705 E Burnside St, Portland, OR, 97214",5.0,+15032015208
Cascade Medical Spa & Tattoo Removal Center,"1292 SE Holgate Blvd, Portland, OR, 97202",4.5,+15033957736
Julene Passmore - Integrative Skincare,", Portland, OR, 97201",5.0,+15034490486
SANTÉ Aesthetics and Wellness,"210 NW 17th Ave, Portland, OR, 97209",4.5,+19714073066
Skin By Beth Ann Warren,"14535 Westlake Dr, Lake Oswego, OR, 97035",5.0,+19712581955
Fresh Faces RX,"1255 NW 9th Ave, Portland, OR, 97209",4.5,+15038805755
Lisa G Skincare,"3561 NE Broadway St, Portland, OR, 97232",5.0,+13606192319
Harley True - Esthetician,"208 NW 21st Ave, Portland, OR, 97209",4.5,+19712016913
Skinwise Rx,"7461-B SW Barbur Blvd, Portland, OR, 97219",5.0,+15039645334
Oswego Beauty and Laser,"375 N State St, Lake Oswego, OR, 97034",5.0,+15034627777
SkinTique Studio,"15733 SE Happy Valley Town Center Dr, Happy Valley, OR, 97086",4.0,+15038785882
RediMedi Laser Skin Clinics,"1847 E Burnside St, Portland, OR, 97214",4.5,+15032350782
Skinology,"2811 Lafave St, West Linn, OR, 97068",5.0,+15034515559
Prismatic Skincare,"3550 SW Bond Ave, Portland, OR, 97239",5.0,+15035835510
Lavish Med Spa,"2245 SE Powell Blvd, Portland, OR, 97202",5.0,+15037073006
Ash Skin,"NW 55th Ave, Vancouver, WA, 98685",5.0,+15416399088
Cypress Beauty & Wellness,"1616 SE Bybee Blvd, Portland, OR, 97202",5.0,+15032364654
A Touch of Youth,"7000 SW Hampton St, Tigard, OR, 97223",5.0,+15039610033
Ethereal Wellness Boutique,"211 NE 28th Ave, Portland, OR, 97232",5.0,+15032455993
Vitality Aesthetics,"12052 SE Sunnyside Rd, Happy Valley, OR, 97015",5.0,+15036984566
Hidden Trails Skincare,"1033 SW Yamhill, Portland, OR, 97205",5.0,+19718082844
Skin Aesthetics and Laser,"18029 SW Lower Boones Ferry Rd, Tigard, OR, 97224",5.0,+15034075716
The Wax Skin Spa,"328 NE Failing St, Portland, OR, 97212",4.5,+15034779991
Skin by Lovely Lake Oswego,"6000 Meadows Rd, Lake Oswego, OR, 97035",5.0,+15034621916
Kanani Pearl Spa,"1111 NW Marshall St, Portland, OR, 97209",4.5,+15032425500
R J Edwards Aesthetic Clinic,"17620 Pilkington Rd, Lake Oswego, OR, 97035",5.0,+19718087077
Renew Aesthetic Clinic,"10029 SW Nimbus Ave, Beaverton, OR, 97008",5.0,+19714703186
Into Eden,"2133 N Skidmore Ct, Portland, OR, 97217",5.0,+15037523508
Joie de Vie,"3645 SW 108th Ave, Beaverton, OR, 97005",5.0,+15037473894
Beauty By Linda,"1112 N Winchell St, Portland, OR, 97217",5.0,+15034227104
"Gwen Manlove, Esthetician & LMT","2025 SE Jefferson St, Milwaukie, OR, 97222",5.0,+15036799144
Spa Sasse´,"630 SW Alder St, Portland, OR, 97205",3.5,+15032288266
Zenana Spa and Wellness,"2024 SE Clinton St, Portland, OR, 97202",4.5,+15032386262
Royal Designs Day Spa,"12490 SW 1st St, Beaverton, OR, 97005",4.5,+15307840555
"Pamela Sander, LE CAE, MAT","8113 SE 13th Ave, Portland, OR, 97202",5.0,+15037096814
About Face Dental Hygiene Spa,"10211 SW Barbur Blvd, Portland, OR, 97219",5.0,+19712663368
Aesthetic Laser Center,"555 SE 99th Ave, Portland, OR, 97216",4.5,+15032525557
Rose Hill Wellness,"4660 Belknap Ct, Hillsboro, OR, 97124",4.5,+15038035534
Skin Spa Salon,"17620 Pilkington Rd, Lake Oswego, OR, 97035",3.0,+19716453435
Zama Massage,"2149 NE Broadway St, Portland, OR, 97232",4.5,+15032810278
Soleil Medical Spa,"7887 SW Capitol Hwy, Portland, OR, 97219",3.5,+15032447717
Skin Deep & Beyond Med Spa,"18855 SW Martinazzi Ave, Tualatin, OR, 97062",4.5,+15036922888
Peach Willow Spa,"9015 E Mill Plain Blvd, Vancouver, WA, 98664",4.5,+13607735110
Celebrity Spa,"12325 SW Horizon Blvd, Beaverton, OR, 97007",4.0,+15034300944
GinCare   Wholistic  Wellness,"3939 NE Hancock St, Portland, OR, 97212",5.0,
Soft Touch Medical spas,"12950 SW Pacific Hwy, Tigard, OR, 97223",4.5,+15033725913
Luxe Laser,"1405 NE Broadway St, Portland, OR, 97232",5.0,+15033033456
"Phoebe Rich,  MD","2565 NW Lovejoy St, Portland, OR, 97210",4.5,+15032263376
The Portland Girl,"915 NE Oneonta St, Portland, OR, 97211",5.0,+19713301234
NW Dermatology Institute,"2525 NW Lovejoy St, Portland, OR, 97210",3.5,+15032231933
The Waldorf Center for Plastic Surgery,"9775 SW Wilshire St, Portland, OR, 97225",4.0,+15036460101
Glow Aesthetics,"18081 SW Lower Boones Ferry Rd, Tigard, OR, 97224",4.5,+19714091485
Style Aesthetics by Rajani MD,"1125 NW 9th Ave, Portland, OR, 97209",4.0,+15033038313
Z Clinic,"16250 Bryant Rd, Lake Oswego, OR, 97035",4.5,+15033426410
Petroff Center Plastic Surgery and Medi-Spa,"17720 Jean Way, Lake Oswego, OR, 97035",4.5,+15036354886
Skin & Tonics,"13317 NE 12th Ave, Vancouver, WA, 98685",4.5,+13607266460
Quenby's Aesthetic Medicine & Wellness Center,"17084 Pilkington Rd, Lake Oswego, OR, 97035",5.0,+15033035472
Cass Waxing,"322 NW 5th Ave, Portland, OR, 97209",5.0,+12066616606
Pearl Medspa,"1339 NW Couch St, Portland, OR, 97209",3.5,+15039463888
Silky Skin Laser Center,"10121 SE Sunnyside Rd, Clackamas, OR, 97015",4.0,+15034214743
Vigam Medical Spa and Laser,"2975 SW Cornelius Pass Rd, Hillsboro, OR, 97123",4.0,+19712465665
"Bernard Gasch,MD","9135 SW Barnes Rd, Portland, OR, 97225",3.5,+15032973440
Aura Skin Aesthetics,"14134 SE Red Maple Ln, Happy Valley, OR, 97015",3.0,+15034514857
Sunset MedSpa,"17200 NW Corridor Ct, Beaverton, OR, 97006",4.0,+15037135155
Brow Boutique Threading Bar,"445 2nd St, Lake Oswego, OR, 97034",5.0,+15036999999
Bridgeport Laser & Wellness Center,"7180 SW Hazel Fern Rd, Portland, OR, 97224",4.5,+15037723297
Thrive Aesthetic & Anti-Aging Center,"1706 NW Glisan St, Portland, OR, 97209",4.5,+15039286505
Knott Street Dermatology,"10330 SE 32nd Ave, Milwaukie, OR, 97222",3.5,+15032533910
Laser & Wellness Center,"222 NE Park Plaza Dr, Vancouver, WA, 98684",4.0,+13605978009
Manaloa Massage,"2326 NW Lovejoy St, Portland, OR, 97210",5.0,+15039642454
Silk & Stone Holistic Day Spa,"3807 SE Belmont St, Portland, OR, 97214",4.0,+15033426859
Sobek Salon,"1270 Parrish St, Lake Oswego, OR, 97034",5.0,+15033034700
Aura Aesthetics,"5035 NE Elam Young Pkwy, Hillsboro, OR, 97124",5.0,+19712329232
"Mia E Skourtis, MD","5050 NE Hoyt St, Portland, OR, 97213",4.5,+15032323242
Portland Electrolysis and Skin Care,"1017 SW Morrison St, Portland, OR, 97205",4.5,+15032243300
Breathe,"8765 N Lombard St, Portland, OR, 97203",5.0,+15039361536
Studio Luxe Hair and Skin Spa,"539 NW 13th Ave, Portland, OR, 97209",4.5,+15032243000
Vip Medispa,"10001 SE Sunnyside Rd, Clackamas, OR, 97015",4.5,+15035135533
"David Kao, MD, PC","6370 SW Borland Rd, Tualatin, OR, 97062",4.5,+15036911122
Amelie,"18081 SW Lower Boones Ferry Rd, Tigard, OR, 97224",5.0,+15036733893
Gorin Plastic Surgery & Medspa,"6464 SW Borland Rd, Tualatin, OR, 97062",4.5,+15036927222
Meribeth E Malone Electrolysis & Skin Care,"4259 NE Broadway St, Portland, OR, 97213",3.5,+19712956687
Laser Smooth,"2850 SE Powell Valley Rd, Gresham, OR, 97080",5.0,+15038676386
Sherwood Aesthetic Medicine,"16771 SW 12th St, Sherwood, OR, 97140",5.0,+15036101194
Emerald Visage,"1909 NE MLK Blvd, Portland, OR, 97212",5.0,+15038411816
VanderVeer Center,"6650 SW Redwood Ln, Portland, OR, 97224",3.5,+15034432250
Natural Body Works Massage And Wellness Center,"13912 NE 20th Ave, Vancouver, WA, 98686",3.5,+13606949726
Key Laser Center for Cosmetic Regenerative Medicine,"9755 SW Barnes Rd, Portland, OR, 97225",3.5,+15032911953
Divine Complexions,"8755 SW Citizens Dr, Wilsonville, OR, 97070",5.0,+15037578280
Mode Du Jour,"450 Villa Rd, Newberg, OR, 97132",4.5,+15035388323
Z-va Day Spa,"1673 10th St, West Linn, OR, 97068",4.5,+15033057231
Bogo Tanning,"7552 SW Nyberg St, Tualatin, OR, 97062",4.0,+15036928262
Vancouver Laser Skin Care Clinic,"715 NE 5th Ave, Camas, WA, 98607",2.5,+13608230795
Ideal Image Vancouver,"720 Southeast 160th Ave, Vancouver, WA, 98684",3.0,+13605534961
Resonate Health Spa,"1821 Haworth Ave, Newberg, OR, 97132",5.0,+15037075373
The UnTattoo Parlor,"1306 NW Hoyt St, Portland, OR, 97209",5.0,+15038930102
Best Nails and Spa,"2929 SE Powell Blvd, Portland, OR, 97202",4.0,+15032323254
Salmon Creek Plastic Surgery,"13712 NE 10th Ave, Vancouver, WA, 98685",4.0,+13608230860
Results Skin Care Center,"10215 SW Hall Blvd, Tigard, OR, 97223",2.0,+15032068040
Premier Laser Clinic At Sylvan,"5440 SW Westgate Dr, Portland, OR, 97221",2.5,+15032912551
Silk Hands Spa,"601 Main St, Vancouver, WA, 98660",4.5,+13606444977
ProHealth Chiropractic,"4000 Kruse Way Pl, Lake Oswego, OR, 97035",4.5,+15033057244
Hand & Stone Massage and Facial Spa,"7389 NE Butler Street, Hillsboro, OR, 97124",4.0,+15036814949
Hair MW,"1015 NW Lovejoy St, Portland, OR, 97209",4.5,+15037152884
SunsUp Tan & Wellness Spa,"15021 SE McLoughlin Blvd, Oak Grove, OR, 97267",2.5,+15034965852
Palm Beach Tan,"19739 Hwy 213, Oregon City, OR, 97045",3.5,+15035187903
