Name,Location,Rating,Contact
Awaken Skin,"353 E 200th S, Salt Lake City, UT, 84111",5.0,+18015775127
Skin Spa Acne Clinic/Aesthetics/Bareface Artistry,"6298 S 900th E, Salt Lake City, UT, 84121",4.5,+18017927994
Skin and Beyond Wellness Center,"3378 S 2300th E, Salt Lake City, UT, 84109",5.0,+18018564252
Inner Glow Massage & Spa,"1200 E 3300 S, Salt Lake City, UT, 84106",5.0,+18013098422
Saltz Plastic Surgery & Saltz Spa Vitoria,"5445 Highland Dr, Salt Lake City, UT, 84117",4.5,+18012749500
Truebeauty Forever,"106 W 500th S, Bountiful, UT, 84010",4.5,+18016434277
Constantine Cosmetic Surgery,"5929 Fashion Blvd, Murray, UT, 84107",5.0,+18012613637
Complexion By V,"1033 E 2100th S, Salt Lake City, UT, 84106",5.0,+13853130952
Spa Trouvé,"705 E 900th S, Salt Lake City, UT, 84105",4.5,+18019978199
Body Rock Sculpting Med Spa,"1514 S 1100th E, Salt Lake City, UT, 84105",4.0,+13855283160
Beaute Marque Day Spa,"1200 E 3300 S, Millcreek, UT, 84106",4.0,+18014669984
Jeauty Aesthetics,"1290 South 500 W, Woods Cross, UT, 84010",5.0,+13852430233
Barr Aesthetics,"24 S 1100th E, Salt Lake City, UT, 84102",5.0,+18015320204
Selarom Plastic Surgery & Spa,"5089 S 900th E, Salt Lake City, UT, 84117",4.5,+18013865776
Skin Esteem Science ,"6051 S 900th E, Murray, UT, 84121",5.0,+14356211950
Integrated Massage and Wellness Spa,"458 N 500th W, Bountiful, UT, 84010",5.0,+18013831684
Form Spa,"6322 S 3000th E, Salt Lake City, UT, 84121",3.5,+18015133223
Ageless Medical Spa,"2344 E Murray Holladay Rd, Salt Lake City, UT, 84117",4.0,+18012777000
"Steven Jepson, MD","154 Myrtle Ave, Murray, UT, 84107",5.0,+18012810022
Skinworks School of Advanced Skincare,"2121 Nowell Cir, Salt Lake City, UT, 84115",4.5,+18015300001
Sego Lily Spa,"401 W 500th S, Bountiful, UT, 84010",4.5,+18019923186
SLC Med Spa,"2138 S Highland Dr, Salt Lake City, UT, 84106",4.0,+18014190551
Elase Medical Spas,"2236 South 1300 E, Salt Lake City, UT, 84106",3.5,+18014561451
Peak Day Spa,"3130 Highland Dr, Salt Lake City, UT, 84106",4.5,+13852024104
Qwella Medical spa,"10382 S Jordan Gateway, South Jordan, UT, 84095",4.0,+18015717710
Fresh Beauty By Jen,"6263 S Highland Dr, Holladay, UT, 84121",5.0,+18015565803
Elase Medical Spas,"320 W Union Ave, Farmington, UT, 84025",4.0,+18018906405
Beauty Lab + Laser,"5089 S 900th E, Salt Lake City, UT, 84117",4.5,+18012813223
Truebeauty Forever Layton,"1410 N Hill Field Rd, Layton, UT, 84015",5.0,+18016434277
Elase Medical Spas,"131 E 12300th S, Draper, UT, 84020",4.0,+18014954175
Wade Laser Clinic,"557 W 2600 S, Bountiful, UT, 84010",3.5,+18012951020
Surface Medical Spas,"1660 W Antelope Dr, Layton, UT, 84041",5.0,+18017762002
Trilogy Medical Center,"7001 S 900th E, Midvale, UT, 84047",4.0,+18017472273
Truebeauty Forever,"335 N 300th W, Kaysville, UT, 84037",4.5,+18016434277
Blue Water Bodywork,"2178 S 900th E, Salt Lake City, UT, 84106",5.0,+18019032867
Clarity Skin,"11762 S State St, Draper, UT, 84020",4.0,+18015712040
NIMA - National Institute of Medical Aesthetics,"10714 S River Front Pkwy, South Jordan, UT, 84095",3.5,+18448996462
AquaVie Day Spa,"3350 S Highland Dr, Salt Lake City, UT, 84106",3.5,+18014840574
Utah Facial Plastics,"114 E 12450th S, Draper, UT, 84020",5.0,+18017762220
Spa Trouve,"5455 W 11000th N, Highland, UT, 84003",4.0,+18017563366
AA Nails & Spa,"4919 S State St, Murray, UT, 84107",4.5,+13854746121
LIfeSpa South Jordan,"10996 South River Front Pkwy, South Jordan, UT, 84095",4.0,+18013023724
Lone Peak Dermatology & Med Spa,"11760 S 700th E, Draper, UT, 84020",3.0,+18015728043
Biorestoration Medical Clinic & Spa,"12340 S 450th E, Draper, UT, 84020",3.5,+18015019797
La Belle Vie Medical Care & Aesthetics,"248 East 13800 S, Draper, UT, 84020",4.0,+18019878384
Whispering Waters Wellness Center,"6786 S 1300th E, Salt Lake City, UT, 84121",4.5,+18019359057
Glo Esthetics,"40 W Main Street Ct, Alpine, UT, 84004",5.0,+18016921782
Skin Science Institute of Laser & Esthetics - Sandy,"10299 S 1300th E, Sandy, UT, 84094",3.5,+18019830619
Avahlee Medical Spa,"3320 N Digital Dr, Lehi, UT, 84043",4.5,+18013418341
Hand & Stone Massage and Facial Spa,"944 E Fort Union Blvd, Midvale, UT, 84047",4.0,+18015590470
Heavenly Hands Massage & Spa,"2725 E Parleys Way, Salt Lake City, UT, 84109",3.0,+18017087888
East West Health,"34 S 500th E, Salt Lake City, UT, 84102",3.5,+18015822011
Massage Green Spa,"90 W 11400 S, Sandy, UT, 84070",3.5,+18018101999
Massage Envy - Sugar House,"2236 S 1300th E, Salt Lake City, UT, 84106",2.5,+18014840223
Massage Green Spa,"1851 W Traverse Pkwy, Lehi, UT, 84043",4.0,+13853363500
Massage Envy - Fourth South,"655 E 400th S, Salt Lake City, UT, 84102",2.5,+18014335333
Ideal Image West Jordan,"7818 South Redwood Rd, West Jordan, UT, 84088",2.0,+18015900499
Massage Envy - Fashion Plaza,"6352 S State St, Murray, UT, 84107",2.5,+18012813689
Massage Envy - Layton,"519 Ring Rd, Layton, UT, 84041",4.0,+18013363330
Enlighten Laser Cosmetics,"1560 S Renaissance Towne Dr, Bountiful, UT, 84010",2.0,+18012949999
Massage Envy - Sandy,"1838 E 9400th S, Sandy, UT, 84093",2.5,+18015459111
Massage Envy - South Jordan,"11553 S Parkway Plaza Dr, South Jordan, UT, 84095",3.0,+18012535330
Crystallize Spa & Salon,"1089 S Orem Blvd, Orem, UT, 84058",1.0,+18018051822
